time,layout_data_offset,data_0,data_1,data_2,data_3
2025/08/05 16:53:59.252075305,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:59.352672972,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:59.454582222,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:59.557304305,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:59.666712722,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:59.760273888,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:59.865971555,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:59.954757680,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.59373889,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.155962139,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.255610680,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.355952764,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.454828500,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.556287666,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.656719333,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.758534625,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.861693708,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:00.952153583,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:01.60149958,0,30.0,30.0,-20.0,-20.0
2025/08/05 16:54:01.156702792,0,30.0,30.0,-10.0,-10.0
2025/08/05 16:54:01.256664375,0,30.0,30.0,0.0,0.0
2025/08/05 16:54:01.355557958,0,30.0,30.0,10.0,10.0
2025/08/05 16:54:01.453774708,0,30.0,30.0,20.0,20.0
2025/08/05 16:54:01.554949875,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:01.655495500,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:01.761350292,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:01.857326834,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:01.956430084,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.54425709,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.159942750,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.262582667,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.358436750,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.463847125,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.556678584,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.661393709,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.769563334,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.859927834,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:02.957654126,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.55666292,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.154960334,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.257706001,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.364777459,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.452475168,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.553676459,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.658256626,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.756256043,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.859184834,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:03.959651043,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.58835335,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.157227460,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.254409335,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.354665918,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.455251835,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.553886668,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.658409252,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.758801293,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.856116543,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:04.952620543,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:05.54195127,0,30.0,30.0,30.0,30.0
